Typhoon Code,Typhoon Name,Bluff Head (Stanley),Central Pier,Cheung Chau,Cheung Chau Beach,Green Island,Hong Kong International Airport,Kai Tak,King's Park,Lamma Island,Lau Fau Shan,Ngong Ping,North Point,Peng Chau,Ping Chau,Sai Kung,Sha Chau,Sha Lo Wan,Sha Tin,Shek Kong,Star Ferry (Kowloon),Ta Kwu Ling,Tai Mei Tuk,Tai Mo Shan,Tai Po Kau,Tap Mun East,Tate's Cairn,Tseung Kwan O,Tsing Yi Shell Oil Depot,Tuen Mun Government Offices,Waglan Island,Wetland Park,Wong Chuk Hang, 
(0307,Imburdo,nan,nan,101,nan,75,67,45,40,nan,51,nan,52,nan,27,58,nan,67,34,43,54,31,81,108,nan,nan,99,30,nan,41,83,nan,49, 
(0308,Goni,nan,nan,51,nan,36,36,30,20,nan,23,nan,25,nan,12,25,nan,31,16,22,30,19,nan,59,nan,nan,43,14,nan,22,45,nan,25, 
(0218,Hagupit,nan,nan,92,nan,58,56,41,38,nan,31,nan,43,nan,nan,52,nan,56,22,nan,47,27,65,81,nan,nan,75,23,nan,27,79,nan,41, 
(0214,Vongfong,nan,nan,59,nan,47,43,41,25,nan,30,nan,31,nan,19,38,nan,nan,20,nan,40,22,49,75,nan,nan,59,22,nan,30,56,nan,30, 
(0212,Kammuri,nan,nan,38,nan,45,31,25,23,nan,40,nan,31,nan,23,40,nan,27,19,nan,31,20,43,51,nan,nan,62,16,nan,16,65,nan,20, 
(0116,Nari,nan,nan,25,nan,25,31,nan,13,nan,38,nan,19,nan,14,19,nan,16,12,14,14,13,16,49,nan,nan,38,12,nan,16,30,nan,14, 
(0114,Fitow,nan,nan,51,nan,nan,30,nan,23,nan,27,nan,30,nan,nan,31,nan,34,16,23,31,19,41,62,nan,nan,nan,14,nan,19,52,nan,25, 
(0107,Yutu,nan,nan,68,nan,nan,44,nan,31,nan,30,nan,40,nan,nan,49,nan,nan,23,nan,41,23,59,79,nan,nan,63,22,nan,25,68,nan,34, 
(0104,Utor,nan,nan,85,nan,83,75,nan,34,nan,65,nan,36,nan,23,51,nan,nan,34,nan,43,25,40,77,nan,nan,58,34,nan,49,88,nan,36, 
(0103,Durian,nan,nan,67,nan,45,42,nan,31,nan,30,nan,38,nan,19,40,nan,nan,22,nan,41,25,58,83,nan,nan,67,22,nan,27,58,nan,31, 
(0102,Chebi,nan,nan,25,nan,25,26,nan,13,nan,25,nan,22,nan,9,12,nan,nan,19,nan,19,14,27,31,nan,nan,31,13,nan,16,36,nan,12, 
