Typhoon Code,Typhoon Name,Bluff Head (Stanley),Central Pier,Cheung Chau,Cheung Chau Beach,Green Island,Hong Kong International Airport,Kai Tak,King's Park,Lamma Island,Lau Fau Shan,Ngong Ping,North Point,Peng Chau,Ping Chau,Sai Kung,Sha Chau,Sha Lo Wan,Sha Tin,Shek Kong,Star Ferry (Kowloon),Ta Kwu Ling,Tai Mei Tuk,Tai Mo Shan,Tai Po Kau,Tap Mun East,Tate's Cairn,Tseung Kwan O,Tsing Yi Shell Oil Depot,Tuen Mun Government Offices,Waglan Island,Wetland Park,Wong Chuk Hang
(0706_1,Pabuk_1,nan,44,79,nan,nan,52,41,36,nan,42,75,55,61,24,48,61,42,27,nan,31,28,66,77,nan,nan,85,38,48,18,92,29,39
(0619,Cimaron,nan,24,52,nan,59,41,38,29,nan,41,nan,33,nan,12,48,nan,31,28,29,24,32,53,74,nan,nan,25,20,nan,18,58,nan,24
(0615W,TD0615W,nan,44,55,nan,57,43,37,29,nan,24,nan,38,nan,17,46,nan,27,24,20,33,24,53,72,nan,nan,72,28,nan,25,77,nan,34
(0613W,TD0613W,nan,28,46,nan,7,36,28,17,nan,24,nan,31,nan,15,44,nan,27,15,18,28,18,37,52,nan,nan,46,17,nan,24,51,nan,20
(0609,Bopha,nan,23,29,nan,27,28,27,15,nan,24,nan,20,nan,9,19,nan,28,16,9,27,11,nan,47,nan,nan,39,12,nan,15,31,nan,16
(0606,Prapiroon,nan,66,119,nan,84,86,72,53,nan,50,nan,57,nan,30,68,nan,76,38,48,71,45,nan,121,nan,nan,92,nan,nan,48,90,nan,65
(0602,Jelawat,nan,28,50,nan,35,30,37,20,nan,23,nan,28,nan,12,28,nan,25,18,24,31,20,36,56,nan,nan,41,17,nan,24,43,nan,28
(0601,Chanchu,nan,52,72,nan,81,67,51,42,nan,57,nan,53,nan,28,62,nan,27,32,25,46,45,62,87,nan,nan,109,40,nan,28,94,nan,39
(0518,Damrey,nan,nan,78,nan,78,61,44,37,nan,46,nan,46,nan,30,57,nan,60,29,43,49,34,77,89,nan,nan,88,40,nan,28,92,nan,43
(0516,Vicente,nan,nan,59,nan,55,46,42,29,nan,36,nan,42,nan,18,37,nan,49,20,32,44,54,77,64,nan,nan,16,18,nan,15,61,nan,34
(0510,Sanvu,nan,nan,46,nan,35,37,25,16,nan,44,nan,28,nan,21,27,nan,28,20,18,33,15,37,57,nan,nan,51,18,nan,20,47,nan,18
(0417,Aere,nan,nan,44,nan,26,30,28,15,nan,38,nan,31,nan,21,23,nan,23,15,15,33,15,37,57,nan,nan,43,15,nan,28,35,nan,28
(0409,Kompasu,nan,nan,63,nan,76,59,51,34,nan,58,nan,46,nan,40,59,nan,44,32,32,57,28,70,69,nan,nan,88,29,nan,24,112,nan,39
(0404,Conson,nan,nan,22,nan,27,17,25,11,nan,23,nan,17,nan,9,23,nan,11,15,8,15,9,19,22,nan,nan,18,9,nan,16,18,nan,9
(0313,Dujuan,nan,nan,102,nan,102,99,77,47,nan,120,nan,76,nan,nan,70,nan,71,39,48,93,48,90,89,nan,nan,115,35,nan,64,92,nan,50
(0312,Krovanh,nan,nan,101,nan,78,62,53,38,nan,49,nan,50,nan,30,57,nan,67,29,39,55,38,81,87,nan,nan,80,29,nan,38,87,nan,45
(0307,Imburdo,nan,nan,117,nan,87,80,56,50,nan,62,nan,64,nan,35,70,nan,83,43,54,66,39,96,119,nan,nan,113,38,nan,52,94,nan,61
(0308,Goni,nan,nan,59,nan,42,43,37,25,nan,28,nan,31,nan,15,30,nan,38,20,28,37,24,nan,65,nan,nan,49,18,nan,28,51,nan,31
(0218,Hagupit,nan,nan,107,nan,67,67,51,47,nan,38,nan,53,nan,nan,63,nan,69,28,nan,57,34,77,89,nan,nan,85,29,nan,34,90,nan,51
(0214,Vongfong,nan,nan,68,nan,55,52,51,31,nan,36,nan,38,nan,24,46,nan,nan,25,nan,49,28,58,83,nan,nan,67,28,nan,38,64,nan,38
(0212,Kammuri,nan,nan,44,nan,52,37,31,29,nan,49,nan,38,nan,30,48,nan,33,24,nan,38,25,51,56,nan,nan,71,20,nan,20,74,nan,25
(0116,Nari,nan,nan,29,nan,29,37,nan,16,nan,46,nan,23,nan,18,23,nan,20,15,18,17,16,19,54,nan,nan,43,15,nan,20,34,nan,18
(0114,Fitow,nan,nan,59,nan,nan,36,nan,29,nan,33,nan,37,nan,nan,37,nan,42,20,29,38,24,49,68,nan,nan,nan,18,nan,24,59,nan,31
(0107,Yutu,nan,nan,79,nan,nan,53,nan,38,nan,36,nan,49,nan,nan,59,nan,nan,29,nan,50,29,70,87,nan,nan,72,28,nan,32,77,nan,43
(0104,Utor,nan,nan,99,nan,97,90,nan,42,nan,79,nan,44,nan,30,62,nan,nan,43,nan,52,32,47,85,nan,nan,66,43,nan,62,100,nan,45
(0103,Durian,nan,nan,78,nan,52,50,nan,38,nan,36,nan,46,nan,24,48,nan,nan,28,nan,50,32,69,91,nan,nan,76,28,nan,34,66,nan,39
(0102,Chebi,nan,nan,29,nan,29,31,nan,16,nan,30,nan,27,nan,12,15,nan,nan,24,nan,23,18,32,34,nan,nan,35,17,nan,20,41,nan,15
